Complainant,Title,depth_index,Violator
Chinese Taipei,India - Anti-Dumping Measures on Certain Products from Chinese Taipei,1,India
EC,US - Section 776 of the Tariff Act of 1930,1,United States
Thailand,US - Provisional Anti-Dumping Measures on Shrimp from Thailand,1,United States
Mexico,US - Anti-Dumping Determination Regarding Stainless Steel from Mexico,1,United States
Chile,EC - Definitive Safeguard Measure on Salmon,1,EC
Pakistan,Egypt - Anti-Dumping Duties on Matches from Pakistan,2,Egypt
Norway,EC - Definitive Safeguard Measure on Salmon,1,EC
Mexico,Panama - Tariff Classification of Certain Milk Products,1,Panama
EC,"Argentina - Countervailing Duties on Olive Oil, Wheat Gluten and Peaches",1,Argentina
Costa Rica,Dominican Republic - Foreign Exchange Fee Affecting Imports from Costa Rica,1,Dominican Republic
US,Canada - Provisional Anti-Dumping and Countervailing Duties on Grain Corn from the United States,1,Canada
Argentina,US - Anti-Dumping Administrative Review on Oil Country Tubular Goods from Argentina,1,United States
Panama,Colombia - Customs Measures on Importation of Certain Goods from Panama,1,Colombia
Argentina,EC - Measures Affecting the Tariff Quota for Fresh or Chilled Garlic,1,EC
Argentina,Chile - Milk Safeguards,4,Chile
EC,India - Wines and Spirits,4,India
EC,Canada - Tax Exemptions and Reductions from Wine and Beer,1,Canada
Argentina,Brazil - Anti-Dumping Measures on  Resins,4,Brazil
Canada,US - Subsidies and Other Domestic Support for Corn and Other Agricultural Products,3,United States
US,"China - Certain Measures Granting Refunds, Reductions or Exemptions from Taxes and Other Payments",2,China
Mexico,"China - Certain Measures Granting Refunds, Reductions or Exemptions from Taxes and Other Payments",2,China
Colombia,EC - Regime for the Importation of Bananas,1,EC
Panama,EC - Regime for the Importation of Bananas,1,EC
Brazil,US - Domestic Support and Export Credit Guarantees for Agricultural Products,3,United States
China,US - Preliminary Anti-Dumping and Countervailing Duty Determinations on Coated Free Sheet Paper from China,1,United States
Canada,EC - Certain Measures Prohibiting the Importation and Marketing of Seal Products,3,EC
EC,Thailand - Customs Valuation of Certain Products from the EC,1,Thailand
EC,China - Measures Affecting Financial Information Services and Foreign Financial Suppliers,1,China
US,China - Measures Affecting Financial Services and Foreign Financial Suppliers,1,China
Indonesia,South Africa - Anti-Dumping Measures on Uncoated Woodfree Paper,1,South Africa
Canada,China - Measures Affecting Financial Information Services and Foreign Financial Information Suppliers,1,China
EC,India - Certain Taxes and Other Measures on Imported Wines and Spirits,1,India
India,EC - Expiry Reviews of Anti-Dumping and Countervailing Duties Imposed on Imports of PET from India,1,EC
US,"China - Grants, Loans and Other Incentives",1,China
Mexico,"China - Grants, Loans and Other Incentives",1,China
US,EC - Certain Measures Affecting Poultry Meat and Poultry Meat Products from the US,3,EC
Guatemala,"China - Grants, Loans and Other Incentives",1,China
Argentina,Chile - Anti-Dumping Measures on Imports of Wheat Flour from Argentina,1,Chile
EU,China - Provisional Anti-Dumping Duties on Certain Iron and Steel Fasteners,1,China
India,EU and a member state - Seizure of Generic Drugs in Transit,1,EU and a member state
Brazil,EU and a member state - Seizure of Generic Drugs in Transit,1,EU and a member state
Peru,Argentina - Anti-Dumping Duties on Fasteners and Chains from Peru,1,Argentina
Ukraine,Armenia - Measures Affecting the Importation and Internal Sale of Cigarettes and Alcoholic Beverages,2,Armenia
US,China - Measures Concerning Wind Power Equipment,1,China
Korea,US - Anti-Dumping Measures on Corrosion-Resistant Carbon Steel Flat Products from Korea,3,United States
Ukraine,Moldova - Measures Affecting the Importation and Internal Sale of Goods (Environmental Charge),3,Moldova
Moldova,Ukraine - Taxes on Distilled Spirits,3,Ukraine
EU,US - Anti-Dumping Measures on Imports of Stainless Steel Sheet and Strip in Coils from Italy,1,United States
India,Turkey - Safeguard Measures on Imports of Cotton Yarn (Other than Sewing Thread),1,Turkey
Brazil,South Africa - Anti-Dumping Duties on Frozen Meat of Fowls from Brazil,1,South Africa
Argentina,EU and a member state - Certain Measures Concerning the Importation of Biodiesels,2,EU and a member state
Mexico,Argentina - Measures Affecting the Importation of Goods,2,Argentina
Argentina,US - Animals,7,United States
Argentina,US - Measures Affecting the importation of Fresh Lemons,2,United States
US,China - Certain Measures Affecting the Automobile and Automobile Parts Industries,1,China
Mexico,China - Measures Relating to the Production and Exportation of Apparel and Textile Products,1,China
China,EU and certain member states - Certain Measures Affecting the Renewable Energy Generation Sector,1,EU and certain member states
US,"Indonesia - Importation of Horticultural Products, Animals and Animal Products",3,Indonesia
Argentina,EU and certain member states - Certain Measures on the Importation and Marketing of Biodiesel and Measures Supporting the Biodiesel Industry,1,EU and certain member states
EU,Russian Federation - Recycling Fee on Motor Vehicles,3,Russia
Japan,Russian Federation - Recycling Fee on Motor Vehicles,1,Russia
US,"Indonesia - Importation of Horticultural Products, Animals and Animal Products",1,Indonesia
New Zealand,"Indonesia - Importation of Horticultural Products, Animals and Animal Products",1,Indonesia
Denmark - Faroe Islands,EU - Measures on Atlanto-Scandian Herring,3,EU
Indonesia,Pakistan - Anti-Dumping and Countervailing Duty Investigations on Certain Paper Products from Indonesia,2,Pakistan
Russian Federation,EU - Cost Adjustment Methodologies and Certain Anti-Dumping Measures on Imports from Russia,3,EU
EU,Indonesia - Recourse to Article 22.2 of the DSU in the US - Clove Cigarettes Dispute,1,Indonesia
Brazil,Indonesia - Chicken,11,Indonesia
US,China - Measures Related to Demonstration Bases and Common Service Platforms Programmes,3,China
